,A3,B-2,B-3,B-4,B-5,B2,B3,B5,C#2,C#3,D2,D3,D4,E-3,E-4,E2,E4,F#3,F#4,F4,G#3,G2,G3,G4,G6
A3,0.05668945578231289,0.05668945578231298,0.05668945578231275,0.05668945578231286,0.05668945578231288,0.05668945578231288,0.05668945578231288,0.05668945578231288,0.05668945578231288,0.05668945578231288,0.05668945578231288,0.05668945578231288,-0.047620238095238056,0.05668945578231288,0.05668945578231288,0.05668945578231288,-0.14285833333333336,0.05668945578231288,0.05668945578231288,-4.461708780212348e-15,0.05668945578231288,0.05668945578231288,0.05668945578231288,4.6629367034256575e-15,0.05668945578231288
B-2,0.05668945578231288,0.056689455782312964,0.056689455782312735,0.05668945578231285,0.056689455782312874,0.056689455782312874,0.056689455782312874,0.056689455782312874,0.056689455782312874,0.056689455782312874,0.056689455782312874,0.056689455782312874,-0.04762023809523838,0.056689455782312874,0.056689455782312874,0.056689455782312874,-0.1428583333333339,0.056689455782312874,0.056689455782312874,3.2335245592207684e-15,0.056689455782312874,0.056689455782312874,0.056689455782312874,-2.2690183065776637e-15,0.056689455782312874
B-3,0.05668945578231289,0.05668945578231297,0.05668945578231276,0.05668945578231287,0.05668945578231289,0.05668945578231289,0.05668945578231289,0.05668945578231289,0.05668945578231289,0.05668945578231289,0.05668945578231289,0.05668945578231289,-0.04762023809523804,0.05668945578231289,0.05668945578231289,0.05668945578231289,-0.14285833333333292,0.05668945578231289,0.05668945578231289,-4.322930902134203e-15,0.05668945578231289,0.05668945578231289,0.05668945578231289,4.1494585545365226e-15,0.05668945578231289
B-4,0.05668945578231293,0.05668945578231302,0.05668945578231279,0.05668945578231291,0.05668945578231293,0.05668945578231293,0.05668945578231293,0.05668945578231293,0.05668945578231293,0.05668945578231293,0.05668945578231293,0.05668945578231293,-0.047620238095236925,0.05668945578231293,0.05668945578231293,0.05668945578231293,-0.14285833333333237,0.05668945578231293,0.05668945578231293,-3.760880495917718e-15,0.05668945578231293,0.05668945578231293,0.05668945578231293,1.672273430841642e-15,0.05668945578231293
B-5,0.05668945578231291,0.056689455782313,0.05668945578231278,0.05668945578231289,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.04762023809523799,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.1428583333333333,0.0566894557823129,0.0566894557823129,1.124100812432971e-15,0.0566894557823129,0.0566894557823129,0.0566894557823129,-1.124100812432971e-15,0.0566894557823129
B2,0.05668945578231291,0.056689455782313006,0.05668945578231278,0.05668945578231289,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.04762023809523805,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.14285833333333336,0.0566894557823129,0.0566894557823129,6.522560269672795e-16,0.0566894557823129,0.0566894557823129,0.0566894557823129,-5.551115123125783e-16,0.0566894557823129
B3,0.05668945578231291,0.056689455782313006,0.05668945578231278,0.05668945578231289,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.04762023809523805,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.14285833333333336,0.0566894557823129,0.0566894557823129,6.661338147750939e-16,0.0566894557823129,0.0566894557823129,0.0566894557823129,-5.689893001203927e-16,0.0566894557823129
B5,0.05668945578231291,0.056689455782313006,0.05668945578231278,0.05668945578231289,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.04762023809523805,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.14285833333333336,0.0566894557823129,0.0566894557823129,6.661338147750939e-16,0.0566894557823129,0.0566894557823129,0.0566894557823129,-5.689893001203927e-16,0.0566894557823129
C#2,0.05668945578231291,0.056689455782313006,0.05668945578231278,0.05668945578231289,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.04762023809523805,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.14285833333333336,0.0566894557823129,0.0566894557823129,6.661338147750939e-16,0.0566894557823129,0.0566894557823129,0.0566894557823129,-5.689893001203927e-16,0.0566894557823129
C#3,0.05668945578231291,0.056689455782313006,0.05668945578231278,0.05668945578231289,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.04762023809523805,0.0566894557823129,0.0566894557823129,0.0566894557823129,-0.14285833333333336,0.0566894557823129,0.0566894557823129,6.661338147750939e-16,0.0566894557823129,0.0566894557823129,0.0566894557823129,-5.689893001203927e-16,0.0566894557823129
