,A3,B-2,B-3,B-4,B-5,B2,B3,B5,C#2,C#3,D2,D3,D4,E-3,E-4,E2,E4,F#3,F#4,F4,G#3,G2,G3,G4,G6
A3,4.99993750078124e-07,4.99993750078124e-07,0.4999942500718741,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,0.4999942500718741,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07
B-2,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,0.4999942500718742,0.4999942500718742,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07
B-3,0.4285700408212827,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,0.571426673476166,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07,1.4285663265488335e-07
B-4,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,0.9999760005999854,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07
B-5,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,0.4999942500718741,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,0.4999942500718741
B2,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,0.9999760005999851,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07
B3,1.6666597222511573e-07,1.6666597222511573e-07,0.8333300277915509,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,0.16666613889108794,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07
B5,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,0.9999760005999854,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07
C#2,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,0.9999760005999854,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07
C#3,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994
D2,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,0.4999942500718742,4.999937500781241e-07,4.999937500781241e-07,0.4999942500718742,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07
D3,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,0.33333088890925905,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,0.33333088890925905,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,3.333305555787035e-07,0.33333088890925905,3.333305555787035e-07,3.333305555787035e-07
D4,0.33333088890925916,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,0.33333088890925916,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,0.33333088890925916,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07,3.333305555787036e-07
